symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,perChange365d,perChange30d
NIFTY MIDCAP 50,NIFTY MIDCAP 50,11172.9,11232.75,10982.35,11066.55,11140.35,-73.80000000000109,-0.66,11789.95,8194.6,448153752,69625571082.34,25-Oct-2023 16:00:00,31.11,-3.08
AUBANK,AUBANKEQN,696.15,709,693.1,707.85,695.45,12.4,1.78,795,548,1877527,1316296629.16,25-Oct-2023 15:57:56,19.76,-6.59
PERSISTENT,PERSISTENTEQN,5834.25,5935,5821.9,5906,5806.25,99.75,1.72,6035,3612.5,531909,3134013147.09,25-Oct-2023 15:56:03,56.59,-0.74
IGL,IGLEQN,397.95,401.75,392.15,398.5,392.3,6.2,1.58,515.7,379.15,3107364,1237476639.3600001,25-Oct-2023 15:59:29,2.33,-13.75
ALKEM,ALKEMEQN,3535.15,3592.45,3531.8,3577,3533.85,43.15,1.22,4243,2940.05,108539,386425974.75,25-Oct-2023 15:58:33,13.82,-0.47
SAIL,SAILEQN,84,85.35,83.1,84.25,83.35,0.9,1.08,103.65,73.75,14344290,1210371190.2,25-Oct-2023 15:59:24,6.18,-10.57
NMDC,NMDCEQN,152.85,154.75,150.6,152.75,151.15,1.6,1.06,167.55,92.25,18234386,2790590433.44,25-Oct-2023 15:59:46,15.43,5.55
BATAINDIA,BATAINDIAEQN,1573.75,1632,1573.75,1590,1573.75,16.25,1.03,1866.7,1381.05,188606,299632694.02000004,25-Oct-2023 15:55:35,-13.27,-3.66
BALKRISIND,BALKRISINDEQN,2564.1,2640,2555,2591.15,2566.9,24.25,0.94,2640,1796.3,821381,2140486030.76,25-Oct-2023 15:59:02,31.61,0.77
IDFCFIRSTB,IDFCFIRSTBEQN,86.45,87.7,85.75,87.05,86.45,0.6,0.69,100.7,52.1,37773182,3282867247.62,25-Oct-2023 15:59:46,48.03,-7.64
OFSS,OFSSEQN,3938,3985,3913.05,3957.5,3933.9,23.6,0.6,4528.45,2883.25,59838,236650912.68,25-Oct-2023 15:57:32,34.01,-6.23
MPHASIS,MPHASISEQN,2130,2162.95,2122,2132.05,2121.15,10.9,0.51,2552,1660.05,460043,986451803.1800001,25-Oct-2023 15:58:39,4.08,-14.68
JUBLFOOD,JUBLFOODEQN,522.1,538.8,522.1,527.3,524.85,2.45,0.47,627.8,412.1,3244900,1722295573,25-Oct-2023 15:59:07,-11.98,-1.16
PETRONET,PETRONETEQN,220.9,222.2,218.35,220.4,219.9,0.5,0.23,254.4,199.55,2515592,553757266.96,25-Oct-2023 15:59:10,8.51,-8.47
M&MFIN,M&MFINEQN,273.9,276.75,269.2,273.25,272.8,0.45,0.16,346.55,191.2,1710365,468862357.45,25-Oct-2023 15:59:27,33.5,-9.83
CUMMINSIND,CUMMINSINDEQN,1705,1722.25,1683.5,1699,1698.95,0.05,0,1980.15,1185.1,364056,619521376.32,25-Oct-2023 15:58:58,41.14,-1.53
GUJGASLTD,GUJGASLTDEQN,407,408.75,400.55,406.6,406.8,-0.2,-0.05,539.1,400.55,1449997,587161785.18,25-Oct-2023 15:59:12,-20.07,-7.46
MRF,MRFEQN,109299.95,109948.85,108150,108889,108977.35,-88.35,-0.08,113439.3,81380.05,4580,499164856.8,25-Oct-2023 15:58:49,26.29,0.3
ABCAPITAL,ABCAPITALEQN,173.05,175.3,170.6,172.4,172.55,-0.15,-0.09,199.3,112,1909337,330391674.47999996,25-Oct-2023 15:59:08,50.9,-1.43
ASTRAL,ASTRALEQN,1829.95,1858.5,1806.75,1821,1823.45,-2.45,-0.13,2058,1297.8,442617,810064354.89,25-Oct-2023 15:57:51,-9.58,-0.96
VOLTAS,VOLTASEQN,823.3,843.75,814.25,820.15,821.3,-1.15,-0.14,934,737.2,1072916,890681217.4,25-Oct-2023 15:58:04,-5.17,-5.11
LTTS,LTTSEQN,4230.9,4252.45,4187,4204.95,4215.5,-10.55,-0.25,4858.6,3215.85,170213,718836733.0799999,25-Oct-2023 15:59:39,19.62,-9.37
COFORGE,COFORGEEQN,4949,4977,4863.05,4899.95,4915.4,-15.45,-0.31,5762.7,3564.75,338564,1662528678.9199998,25-Oct-2023 15:51:20,26.77,-7.14
ASHOKLEY,ASHOKLEYEQN,170.95,172.45,166.6,169.7,170.5,-0.8,-0.47,191.5,133.1,6132925,1039162812,25-Oct-2023 15:59:47,17.95,-4.67
ESCORTS,ESCORTSEQN,3139.95,3190,3084.05,3119,3134.2,-15.2,-0.48,3440.15,1807.7,190950,597797617.5,25-Oct-2023 15:59:25,58,0.24
